,Total Logins,Tickets Raised,Customer Tenuer Year,Sentiment Score,Onboarding Year,Loans Accessed,Loans Taken,Monthly Avg Balance,Churned
0,32.0,4.0,6,0.570978073,2019,0,1,26802.23575,0
1,7.0,0.0,14,0.832714071,2011,3,2,65638.37322,1
2,20.400753212228622,2.0,8,0.442001411,2017,1,1,63524.16316,0
3,17.0,1.0,8,0.264915459,2017,0,0,53295.2308,0
4,22.0,0.0,14,0.253204709,2011,0,1,48054.91325,0
5,22.0,1.0,12,0.278974602,2013,1,1,47079.62751,0
6,26.0,1.0,4,0.164741884,2021,1,1,48131.763028208115,0
7,20.0,1.0,11,0.31648385,2014,2,3,50522.62831,1
8,27.0,0.0,4,0.107783904,2021,1,2,14114.90568,0
9,26.0,4.0,11,0.619893515,2014,1,2,46929.58318,0
10,21.0,3.0,6,0.334321209,2019,3,0,28211.86047,1
11,10.0,0.0,11,0.709339915,2014,1,1,38725.83151,1
12,14.0,2.0,8,0.624311821,2017,1,0,53620.15979,0
13,19.0,1.0,13,0.601879418,2012,0,0,67907.63024,0
14,19.0,2.0,7,0.276692281,2018,1,0,30768.83296,0
15,19.0,2.0,8,0.085910716,2017,0,1,37485.70152,0
16,29.0,1.0,5,0.804700795,2020,1,1,63236.72903,0
17,19.0,2.0,8,0.596683641,2017,1,0,71147.71845,0
18,20.0,1.0,12,0.385301085,2013,0,2,59968.24512,0
19,20.0,3.0,12,0.724755953,2013,0,1,51870.31889,0
20,20.0,2.0,11,0.416359976,2014,0,2,46160.011,0
21,23.0,2.0,12,0.154063905,2013,0,1,67723.6063,0
22,21.400753212228622,2.0,4,0.160330866,2021,2,0,46163.37176,0
23,23.0,5.0,12,-0.206439788,2013,1,1,61441.57832,0
24,8.0,2.0,11,0.553694487,2014,1,1,51573.94658,0
25,16.0,1.0,7,0.460158478,2018,0,1,55747.82604,0
26,22.0,1.0,4,0.47210655,2021,2,1,60007.16427,0
27,24.0,3.0,7,0.686809154,2018,1,1,53684.79798,0
28,16.0,3.0,10,0.763495907,2015,1,2,49368.61937,0
29,21.0,3.0,7,0.559886282,2018,1,0,63531.97248,0
30,21.0,2.0,5,0.605741418,2020,4,1,43293.43457,0
31,18.0,1.0,5,0.434129126,2020,4,0,41924.7451,1
32,14.400753212228622,0.0,7,0.529784201,2018,3,5,46515.69152,1
33,15.0,3.0,5,0.180732011,2020,4,1,25464.33884,1
34,24.0,3.0,9,0.443733607,2016,2,2,71839.45026,0
35,24.0,1.0,9,0.869040671,2016,0,0,43259.79439,0
36,24.0,0.0,11,0.677673652,2014,1,1,49056.2257,0
37,20.0,1.0,9,0.194847352,2016,0,0,26733.26571,0
38,26.0,0.0,14,0.864976455,2011,0,0,77084.24718,0
39,24.0,1.0,10,0.498690878,2015,0,1,30205.67593,0
40,19.0,3.0,8,0.200430565,2017,1,0,48908.91682,0
41,20.0,1.0,10,0.232447109,2015,1,0,44219.41031,0
42,21.0,1.0,9,0.151242408,2016,1,1,44492.06929,0
43,20.0,1.0,4,0.876785343,2021,1,2,22279.0713,0
44,16.0,2.0,5,0.118119741,2020,2,2,42966.16094,0
45,15.0,5.0,12,0.361563411,2013,2,0,33909.69714,1
46,15.400753212228622,2.0,14,0.522844719,2011,2,5,76242.19413,0
47,14.0,6.0,8,-0.066708272,2017,3,1,27430.67608,1
48,19.0,2.0,9,0.088072893,2016,2,1,50256.04632,1
49,28.0,0.0,6,-0.00483063,2019,0,0,31178.60316,0
50,14.0,4.0,13,-0.131760508,2012,0,0,41827.36043,1
51,22.0,5.0,10,-0.00014113,2015,2,1,54259.83922,0
52,16.0,2.0,7,0.44905184,2018,0,1,38199.19553,0
53,17.0,1.0,4,0.050130371,2021,1,0,49577.23364,0
54,18.0,1.0,12,0.405944402,2013,2,0,29723.26541,0
55,24.0,2.0,14,-0.038735559,2011,2,0,19024.81616,0
56,10.0,0.0,8,0.518407277,2017,2,0,27768.23545,0
57,14.0,1.0,12,0.314447477,2013,1,1,38168.01502,1
58,18.0,1.0,5,0.457481972,2020,0,0,31124.81166,0
59,18.0,5.0,8,0.696461508,2017,0,0,44354.37481,0
60,13.0,1.0,7,0.721089481,2018,2,1,49964.96704,0
61,23.0,1.0,9,0.830341518,2016,1,0,31041.15867,0
62,12.0,1.0,3,0.370070537,2022,3,1,39146.96785,1
63,13.0,2.0,11,0.75555844,2014,0,1,40125.49374,0
64,19.0,0.0,12,0.222266075,2013,0,2,36573.37925,0
65,15.0,1.0,8,0.133696368,2017,3,0,48270.50757,0
66,19.0,3.0,4,0.502750694,2021,1,1,51561.63072,1
67,18.0,4.0,13,0.537495389,2012,1,3,32435.82277,0
68,24.0,2.0,10,-0.009204601,2015,1,3,61889.38657,0
69,18.0,2.0,10,1.02479322,2015,0,0,40158.75998,0
70,28.0,0.0,7,0.529629583,2018,1,1,47374.95273,0
71,18.0,2.0,9,0.5693617,2016,0,1,53420.71613,0
72,17.0,1.0,4,0.160698655,2021,0,3,59116.76969,0
73,11.0,2.0,7,0.752288544,2018,1,3,41875.2838,1
74,26.0,1.0,13,0.118725841,2012,0,0,47869.77085,0
75,17.0,1.0,7,0.468420727,2018,0,0,29909.21292,0
76,19.0,1.0,12,0.774953824,2013,1,0,49173.60326,0
77,14.0,4.0,8,0.472068844,2017,0,2,69640.12461,0
78,16.400753212228622,0.0,11,0.394089635,2014,1,1,50508.52532,0
79,22.0,4.0,11,0.280429258,2014,1,0,39014.81826,0
80,11.0,1.0,11,-0.249238977,2014,1,0,20564.356,1
81,17.0,1.0,10,0.467242851,2015,3,0,41719.00394,0
