CustomerID,Age,Gender,Location,Occupation,Income Bracket,Credit Score,Onboarding Date,Channel,App Logins,Web Logins,Device Type,Loans Accessed,Savings Accessed,Monthly Avg Balance,Loans Taken,Repayment Misses,Overdraft Events,Failed Payments,Current Plan,Payment Mode,Tickets Raised,Resolution Time (hrs),Sentiment Score,Survey Feedback,Churned
CUST00000,49,Other,West,Retired,Low,792,28-07-2019,Branch,21,11,iOS,0,1,26802.23575,1,1,1,0,Silver,Auto,4,26.99394632,0.570978073,Bad,0
CUST00001,53,Male,West,Salaried,Low,356,28-03-2011,Online,4,3,Web,3,1,65638.37322,2,0,9,0,Platinum,Auto,0,101.5370312,0.832714071,Good,1
CUST00002,67,Female,North,Self-employed,Medium,441,21-11-2017,Branch,,9,Web,1,1,63524.16316,1,0,2,0,Basic,Manual,2,29.37927132,0.442001411,Bad,0
CUST00003,54,Male,South,Self-employed,Medium,708,18-03-2017,Online,11,6,Android,0,1,53295.2308,0,0,3,0,Gold,Auto,1,167.6186384,0.264915459,Neutral,0
CUST00004,65,Male,South,Student,Medium,377,22-04-2011,Online,10,12,iOS,0,1,48054.91325,1,1,1,0,Gold,Auto,0,5.694074743,0.253204709,Good,0
CUST00005,31,Female,North,Student,High,301,04-07-2013,Branch,12,10,iOS,1,1,47079.62751,1,0,2,0,Platinum,Auto,1,94.62003801,0.278974602,Bad,0
CUST00006,44,Female,North,Self-employed,Medium,334,20-03-2021,Branch,15,11,Android,1,1,,1,0,6,0,Basic,Auto,1,4.297185045,0.164741884,Neutral,0
CUST00007,36,Other,East,Student,High,694,26-07-2014,Branch,10,10,Web,2,1,50522.62831,3,1,5,0,Platinum,Manual,1,32.28079847,0.31648385,Bad,1
CUST00008,48,Female,East,,High,517,21-03-2014,Online,11,6,Android,0,1,48992.55957,1,0,1,0,Silver,Auto,1,86.37359881,1.037255477,Bad,0
CUST00009,63,Other,North,Student,High,366,21-10-2021,Online,15,12,Android,1,1,14114.90568,2,0,3,0,Gold,Auto,0,5.04431591,0.107783904,Bad,0
CUST00010,26,Other,North,Self-employed,Low,368,25-04-2014,Agent,16,10,Web,1,1,46929.58318,2,1,2,0,Basic,Manual,4,54.65906759,0.619893515,Good,0
CUST00011,55,Male,West,Self-employed,High,523,17-03-2019,Online,12,9,Android,3,1,28211.86047,0,1,5,0,Platinum,Auto,3,38.67236676,0.334321209,Good,1
CUST00012,34,Male,South,Self-employed,High,660,26-09-2014,Agent,7,3,Web,1,1,38725.83151,1,0,2,0,Gold,Auto,0,3.514434093,0.709339915,Neutral,1
CUST00013,36,Male,East,Salaried,Low,757,22-02-2017,Online,6,8,Android,1,1,53620.15979,0,2,2,1,Platinum,Manual,2,13.19987922,0.624311821,Neutral,0
CUST00014,61,Female,North,Self-employed,High,593,28-02-2012,Branch,14,5,iOS,0,1,67907.63024,0,0,0,0,Platinum,Auto,1,80.49151183,0.601879418,Bad,0
CUST00015,21,Female,North,Student,Medium,625,25-11-2018,Branch,12,7,Android,1,1,30768.83296,0,0,2,0,Basic,Manual,,60.20405245,0.276692281,Neutral,0
CUST00016,65,Other,East,Self-employed,Medium,502,31-07-2017,Branch,10,9,iOS,0,1,37485.70152,1,1,2,1,Basic,Manual,,37.75458974,0.085910716,Good,0
CUST00017,28,Other,West,Salaried,Low,596,17-06-2020,Agent,22,7,Web,1,1,63236.72903,1,1,0,0,Gold,Auto,1,111.5839242,0.804700795,Bad,0
CUST00018,39,Other,West,Student,Low,560,13-05-2017,Branch,9,10,Android,1,1,71147.71845,0,0,3,1,Basic,Manual,2,7.527131982,0.596683641,Bad,0
CUST00019,21,Female,North,Retired,High,817,23-11-2013,Online,14,6,Web,0,1,59968.24512,2,2,2,0,Platinum,Manual,1,150.6689925,0.385301085,Bad,0
CUST00020,34,Other,South,Self-employed,High,431,26-02-2013,Branch,15,5,Web,0,1,51870.31889,1,1,1,0,Platinum,Auto,3,38.48150723,0.724755953,Good,0
CUST00021,25,Other,South,Self-employed,High,624,11-07-2014,Branch,10,10,Android,0,1,46160.011,2,0,1,0,Platinum,Auto,2,8.456237009,0.416359976,Bad,0
CUST00022,63,Female,North,,Low,367,08-10-2016,Online,11,8,Web,2,1,51742.85092,0,1,1,0,Gold,Auto,4,0.476107404,0.883941429,Good,0
CUST00023,51,Male,East,Student,High,425,13-03-2013,Agent,15,8,Web,0,1,67723.6063,1,0,1,0,Platinum,Manual,2,8.387387232,0.154063905,Bad,0
CUST00024,28,Female,South,Self-employed,Medium,692,01-03-2021,Branch,,10,iOS,2,1,46163.37176,0,1,1,1,Gold,Auto,2,47.21659827,0.160330866,Bad,0
CUST00025,48,Other,East,Salaried,Medium,701,16-08-2013,Agent,15,8,iOS,1,1,61441.57832,1,2,3,0,Basic,Manual,5,22.93570499,-0.206439788,Good,0
CUST00026,28,Male,East,Student,High,635,02-12-2014,Agent,5,3,Android,1,1,51573.94658,1,0,3,1,Silver,Manual,2,2.25932133,0.553694487,Good,0
CUST00027,55,Female,East,Self-employed,Low,328,04-07-2018,Branch,7,9,Web,0,1,55747.82604,1,1,6,1,Silver,Manual,1,2.924843763,0.460158478,Bad,0
CUST00028,38,Male,West,Student,Medium,344,10-05-2021,Online,10,12,Android,2,1,60007.16427,1,0,1,0,Silver,Auto,1,33.76572517,0.47210655,Good,0
CUST00029,63,Male,South,Self-employed,Low,400,14-08-2018,Agent,15,9,iOS,1,1,53684.79798,1,2,3,0,Basic,Manual,3,159.2770501,0.686809154,Bad,0
CUST00030,47,Other,West,Retired,Medium,525,07-11-2015,Online,9,7,iOS,1,1,49368.61937,2,0,2,0,Platinum,Auto,3,0.596934566,0.763495907,Neutral,0
CUST00031,27,Female,South,Self-employed,High,718,03-09-2018,Agent,15,6,Android,1,1,63531.97248,0,2,5,0,Gold,Auto,3,9.383776405,0.559886282,Neutral,0
CUST00032,43,Other,North,Student,High,561,11-01-2020,Branch,14,7,Android,4,1,43293.43457,1,1,1,0,Silver,Auto,2,23.9403834,0.605741418,Neutral,0
CUST00033,44,Female,East,Self-employed,Low,591,12-02-2020,Online,11,7,Web,4,1,41924.7451,0,0,3,0,Basic,Manual,1,6.632580567,0.434129126,Neutral,1
CUST00034,25,Female,South,Self-employed,High,511,24-05-2018,Online,,3,iOS,3,1,46515.69152,5,0,3,0,Silver,Auto,0,45.84270148,0.529784201,Neutral,1
CUST00035,56,Female,South,Student,Low,755,01-11-2020,Agent,9,6,Web,4,1,25464.33884,1,2,2,1,Silver,Auto,3,12.02714714,0.180732011,Bad,1
CUST00036,25,Male,North,Self-employed,Low,535,05-02-2016,Online,15,9,iOS,2,1,71839.45026,2,1,5,0,Platinum,Manual,3,35.9869853,0.443733607,Bad,0
CUST00037,25,Male,West,Self-employed,Medium,833,19-11-2016,Branch,13,11,iOS,0,1,43259.79439,0,2,6,0,Gold,Manual,1,239.0544954,0.869040671,Bad,0
